language,subcategory,term
nepali,strong_slurs,राँडी
nepali,strong_slurs,मुजी
nepali,strong_slurs,टोरी
nepali,strong_slurs,स्यालनी
nepali,strong_slurs,छिनाल
nepali,strong_slurs,भेंडी
nepali,strong_slurs,फटाहा
nepali,gendered_insults,कुतिया
nepali,gendered_insults,कुकुर्नी
nepali,gendered_insults,बेश्या
nepali,gendered_insults,नांगीन
nepali,gendered_insults,मोटी
nepali,gendered_insults,काली
nepali,sexual_phrases,देखाइदे
nepali,sexual_phrases,नांगिनु
nepali,sexual_phrases,सुत्नेसनी
nepali,sexual_phrases,खान दे
nepali,sexual_phrases,रातमा लैजाने
nepali,contextual_phrases,यस्ती केटी
nepali,contextual_phrases,आफूलाई धेरै देखायो
nepali,contextual_phrases,केटाजस्तो बिहेव
nepali,contextual_phrases,स्टाटस हेर्दा नै थाहा हुन्छ
nepali,contextual_phrases,उमेर हेरेर बस
romanized_nepali,strong_slurs,randi
romanized_nepali,strong_slurs,muji
romanized_nepali,strong_slurs,chhinal
romanized_nepali,strong_slurs,tori
romanized_nepali,strong_slurs,syalni
romanized_nepali,gendered_insults,kutia
romanized_nepali,gendered_insults,kukurni
romanized_nepali,gendered_insults,besya
romanized_nepali,gendered_insults,moti
romanized_nepali,gendered_insults,kali
romanized_nepali,sexual_phrases,dekhai de
romanized_nepali,sexual_phrases,nanginu
romanized_nepali,sexual_phrases,sutnesani
romanized_nepali,sexual_phrases,khan de
romanized_nepali,sexual_phrases,raat ma laijane
romanized_nepali,contextual_phrases,kasto attitude
romanized_nepali,contextual_phrases,dherai dekhauxa
romanized_nepali,contextual_phrases,cheap xa
romanized_nepali,contextual_phrases,easy cha
romanized_nepali,contextual_phrases,behave gar na
newari,slurs,ग्वाहा
newari,slurs,न्ह्याकुसा
newari,slurs,इक्वासा
newari,gendered,मखु
newari,gendered,थ्वसा
newari,contexts,मिसे जुइ
newari,contexts,न्हयाथा येन
newari,contexts,थ्वसा भाय
bhojpuri,slurs,रांड
bhojpuri,slurs,छिनार
bhojpuri,slurs,कलमुही
bhojpuri,gendered,मोटकी
bhojpuri,gendered,करमी
bhojpuri,gendered,निकार
bhojpuri,contexts,तोहार चाल ठीक नइखे
bhojpuri,contexts,कइसन रहउ
bhojpuri,contexts,जादे बोलतारी
tharu,slurs,सिहनी
tharu,slurs,बेंकी
tharu,gendered,गौरिनी
tharu,gendered,कउटी
tharu,contexts,तोहार बात बहुत खराब
tharu,contexts,एना करत नई
tharu,contexts,कती बोलछौ
tamang,slurs,लाम्बा
tamang,slurs,तागी
tamang,gendered,थोमा
tamang,gendered,ल्होकी
tamang,contexts,ङा नाङ्छे
tamang,contexts,छोरोम हे
tamang,contexts,मिच्यो मोस
nepali,slurs,राँडी
nepali,slurs,मुजी
nepali,slurs,टोरी
nepali,slurs,स्यालनी
nepali,slurs,भ्याग्री
nepali,slurs,चण्डी
nepali,slurs,फटाहा
romanized_nepali,slurs,randi
romanized_nepali,slurs,tori
romanized_nepali,slurs,syalni
romanized_nepali,slurs,bhyagri
romanized_nepali,slurs,chandi
romanized_nepali,slurs,fataha
nepali,dehumanizing,कुतिया
nepali,dehumanizing,कुकुर्नी
nepali,dehumanizing,भेंडी
nepali,dehumanizing,छिनाल
nepali,dehumanizing,जेट्ठी
romanized_nepali,dehumanizing,kutia
romanized_nepali,dehumanizing,kukurni
romanized_nepali,dehumanizing,bhendi
romanized_nepali,dehumanizing,chhinal
romanized_nepali,dehumanizing,jetthi
nepali,sexualized,सुत्नेसनी
nepali,sexualized,खान दे
nepali,sexualized,देखाइदे
nepali,sexualized,नांगीन
romanized_nepali,sexualized,sutnesani
romanized_nepali,sexualized,khan de
romanized_nepali,sexualized,dekhaide
romanized_nepali,sexualized,nangin
nepali,coercive_threat,बलात्कार गर्ने
nepali,coercive_threat,रातमा लैजाने
nepali,coercive_threat,छुँदै छुँदै
romanized_nepali,coercive_threat,balatkar garne
romanized_nepali,coercive_threat,raatma laijane
romanized_nepali,coercive_threat,chhudai chhudai
nepali,body_shaming,मोटी
nepali,body_shaming,चिम्मटी
nepali,body_shaming,हड्डी
romanized_nepali,body_shaming,काली
romanized_nepali,body_shaming,moti
romanized_nepali,body_shaming,chimmati
romanized_nepali,body_shaming,haddi
romanized_nepali,body_shaming,kali
romanized_nepali,hybrid,slut jasto
romanized_nepali,hybrid,easy xa
romanized_nepali,hybrid,randi mindset
romanized_nepali,slurs,bhyagri
romanized_nepali,slurs,chandi
romanized_nepali,slurs,fataha
romanized_nepali,slurs,randi
romanized_nepali,slurs,syalni
romanized_nepali,slurs,tori
nepali,slurs,चण्डी
nepali,slurs,टोरी
nepali,slurs,फटाहा
nepali,slurs,भ्याग्री
nepali,slurs,मुजी
nepali,slurs,राँडी
nepali,slurs,स्यालनी
romanized_nepali,dehumanizing,bhendi
romanized_nepali,dehumanizing,chhinal
romanized_nepali,dehumanizing,jetthi
romanized_nepali,dehumanizing,kukurni
romanized_nepali,dehumanizing,kutia
nepali,dehumanizing,कुकुर्नी
nepali,dehumanizing,कुतिया
nepali,dehumanizing,छिनाल
nepali,dehumanizing,जेट्ठी
nepali,dehumanizing,भेंडी
romanized_nepali,sexualized,dekhaide
romanized_nepali,sexualized,khan de
romanized_nepali,sexualized,nangin
romanized_nepali,sexualized,sutnesani
nepali,sexualized,खान दे
nepali,sexualized,देखाइदे
nepali,sexualized,नांगीन
nepali,sexualized,सुत्नेसनी
romanized_nepali,coercive_threat,balatkar garne
romanized_nepali,coercive_threat,chhudai chhudai
romanized_nepali,coercive_threat,raatma laijane
nepali,coercive_threat,छुँदै छुँदै
nepali,coercive_threat,बलात्कार गर्ने
nepali,coercive_threat,रातमा लैजाने
romanized_nepali,body_shaming,chimmati
romanized_nepali,body_shaming,haddi
romanized_nepali,body_shaming,kali
romanized_nepali,body_shaming,moti
nepali,body_shaming,काली
nepali,body_shaming,चिम्मटी
nepali,body_shaming,मोटी
nepali,body_shaming,हड्डी
romanized_nepali,hybrid,easy xa
romanized_nepali,hybrid,muji mentality
romanized_nepali,hybrid,randi mindset
romanized_nepali,hybrid,slut jasto